cmno,category,name,ceoName,phone,address,latitude,longitude,description,priceAvg,delFlag
1,DRESS,로렌드레스,김로렌,02-511-1001,서울 강남구 청담동 101,37.5259,127.0397,고급 수입 드레스 전문샵. 다양한 디자이너 브랜드 보유,1500000,false
2,DRESS,화이트브라이드,이화이트,02-511-1002,서울 강남구 청담동 202,37.5262,127.0401,신부 맞춤 드레스 전문. 직접 제작 가능,1800000,false
3,DRESS,라로사드레스,박라라,02-511-1003,서울 강남구 압구정동 303,37.5278,127.0339,이탈리아 수입 명품 드레스 전문,2500000,false
4,DRESS,비앙카브라이달,최비앙,02-511-1004,서울 서초구 서초동 404,37.4836,127.0327,합리적 가격의 프리미엄 드레스,1200000,false
5,DRESS,엘르드레스,정엘르,02-511-1005,서울 마포구 합정동 505,37.5499,126.9136,트렌디한 모던 드레스 전문,1000000,false
6,DRESS,샤벨브라이달,강샤벨,02-511-1006,서울 강남구 신사동 606,37.5252,127.0208,클래식한 스타일 전문 드레스샵,1600000,false
7,DRESS,모나리자드레스,윤모나,02-511-1007,서울 종로구 삼청동 707,37.5809,126.9792,아트 감성 웨딩드레스 전문,1400000,false
8,DRESS,오뜨꾸뛰르,임오뜨,02-511-1008,서울 강남구 논현동 808,37.5116,127.0308,오트쿠튀르 맞춤 드레스 전문,3000000,false
9,DRESS,블루밍브라이드,한블루,02-511-1009,서울 용산구 이태원동 909,37.5344,126.9946,화려하고 개성있는 드레스 전문,1300000,false
10,DRESS,퀸즈드레스,오퀸즈,02-511-1010,서울 강서구 마곡동 1010,37.5578,126.8340,가성비 최고의 웨딩드레스샵,900000,false
11,HALL,그랜드워커힐웨딩,홍대표,02-522-1001,서울 광진구 워커힐로 177,37.5513,127.0837,한강뷰 프리미엄 웨딩홀,12000000,false
12,HALL,롯데웨딩홀,박롯데,02-522-1002,서울 송파구 올림픽로 300,37.5126,127.1024,롯데월드타워 최고급 웨딩홀,15000000,false
13,HALL,신라웨딩홀,김신라,02-522-1003,서울 중구 동호로 249,37.5573,127.0052,전통과 품격의 신라호텔 웨딩,18000000,false
14,HALL,파크하얏트웨딩,이하얏,02-522-1004,서울 강남구 테헤란로 606,37.5083,127.0609,강남 최고급 하얏트 웨딩홀,20000000,false
15,HALL,인터컨티웨딩,최인터,02-522-1005,서울 강남구 봉은사로 524,37.5104,127.0619,럭셔리 인터컨티넨탈 웨딩,17000000,false
16,HALL,더플라자웨딩,조플라,02-522-1006,서울 중구 태평로2가 23,37.5662,126.9779,시청 앞 역사 깊은 플라자 웨딩,16000000,false
17,HALL,드래곤시티웨딩,류드래,02-522-1007,서울 용산구 청파로 20,37.5287,126.9639,용산 랜드마크 웨딩홀,11000000,false
18,HALL,메이필드웨딩,강메이,02-522-1008,서울 강서구 방화동 산 41,37.5555,126.7999,공항 근처 고급 리조트 웨딩,9000000,false
19,HALL,오크밸리웨딩,황오크,02-522-1009,강원도 원주시 지정면 오크밸리길 66,37.3997,128.0138,자연속 리조트 웨딩,8000000,false
20,HALL,해비치웨딩,신해비,064-780-1001,제주시 표선면 민속해안로 537,33.3242,126.8437,제주 바다뷰 웨딩,10000000,false
21,STUDIO,화이트스튜디오,박화이,02-533-1001,서울 마포구 합정동 21-1,37.5499,126.9136,자연광 감성 화이트 스튜디오,600000,false
22,STUDIO,럽스튜디오,김럽스,02-533-1002,서울 강남구 청담동 22-2,37.5267,127.0410,러블리 콘셉트 전문 스튜디오,700000,false
23,STUDIO,포레스트스튜디오,이포레,02-533-1003,서울 종로구 삼청동 23-3,37.5809,126.9792,숲속 느낌의 내추럴 스튜디오,550000,false
24,STUDIO,드림웨딩스튜디오,최드림,02-533-1004,서울 강남구 논현동 24-4,37.5116,127.0308,꿈같은 웨딩 스튜디오,800000,false
25,STUDIO,클래식스튜디오,조클래,02-533-1005,서울 강남구 신사동 25-5,37.5252,127.0208,고급스러운 클래식 무드,650000,false
26,STUDIO,모멘트스튜디오,한모멘,02-533-1006,서울 마포구 홍대 26-6,37.5562,126.9237,트렌디한 홍대 감성 스튜디오,500000,false
27,STUDIO,로맨틱가든스튜디오,오로맨,031-533-1007,경기 수원시 영통구 27-7,37.2636,127.0286,야외 정원 웨딩 스튜디오,580000,false
28,STUDIO,에뜨와르스튜디오,임에뜨,02-533-1008,서울 강남구 압구정동 28-8,37.5278,127.0339,프랑스 감성 럭셔리 스튜디오,900000,false
29,STUDIO,블루밍스튜디오,윤블루,031-533-1009,경기 성남시 분당구 29-9,37.3828,127.1174,분당 고급 웨딩 스튜디오,620000,false
30,STUDIO,아모르스튜디오,강아모,02-533-1010,서울 강남구 역삼동 30-10,37.4996,127.0325,사랑스러운 웨딩 스튜디오,480000,false
31,MAKEUP,파리헤어메이크업,홍파리,02-544-1001,서울 강남구 신사동 31-1,37.5252,127.0208,웨딩 전문 헤어&메이크업,350000,false
32,MAKEUP,로즈뷰티샵,박로즈,02-544-1002,서울 강남구 청담동 32-2,37.5259,127.0397,청담 프리미엄 뷰티샵,450000,false
33,MAKEUP,블링블링메이크업,최블링,02-544-1003,서울 강남구 역삼동 33-3,37.4996,127.0325,화려한 웨딩 메이크업 전문,300000,false
34,MAKEUP,에스더뷰티,이에스,02-544-1004,서울 강남구 논현동 34-4,37.5116,127.0308,자연스러운 웨딩 메이크업,280000,false
35,MAKEUP,모나미헤어,정모나,02-544-1005,서울 서초구 서초동 35-5,37.4836,127.0327,헤어 전문 웨딩샵,250000,false
36,MAKEUP,라뷰티스튜디오,조라뷰,02-544-1006,서울 마포구 서교동 36-6,37.5540,126.9223,홍대 감성 웨딩 뷰티,270000,false
37,MAKEUP,셀린느메이크업,한셀린,02-544-1007,서울 강남구 삼성동 37-7,37.5139,127.0597,럭셔리 웨딩 메이크업,500000,false
38,MAKEUP,글로우뷰티,임글로,02-544-1008,서울 강남구 압구정동 38-8,37.5278,127.0339,빛나는 웨딩 글로우 메이크업,380000,false
39,MAKEUP,유앤아이뷰티,오유앤,02-544-1009,서울 강남구 대치동 39-9,37.4940,127.0622,커플 패키지 전문 뷰티샵,320000,false
40,MAKEUP,웨딩글램,류웨딩,02-544-1010,서울 강남구 도곡동 40-10,37.4879,127.0467,SNS 인기 웨딩 글램 메이크업,400000,false
